id,duration,attention_check,education_level,education_level_other,subject_area,subject_area_other,phrase,response,vocab,dimension,rank_intended
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,landmark,90,elife,importance,5
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,fundamental,70,elife,importance,4
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,important,40,elife,importance,3
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,valuable,30,elife,importance,2
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,useful,40,elife,importance,1
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,exceptional,90,elife,support,6
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,compelling,70,elife,support,5
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,convincing,70,elife,support,4
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,solid,70,elife,support,3
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,incomplete,10,elife,support,2
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,inadequate,0,elife,support,1
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,very high importance,60,alt,importance,5
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,high importance,54,alt,importance,4
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,moderate importance,50,alt,importance,3
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,low importance,10,alt,importance,2
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,very low importance,9,alt,importance,1
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,very strong support,80,alt,support,5
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,strong support,80,alt,support,4
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,moderate support,50,alt,support,3
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,weak support,20,alt,support,2
1,717,0,Doctorate degree (PhD/other),NA,Social Sciences,NA,very weak support,20,alt,support,1
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,landmark,91,elife,importance,5
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,fundamental,71,elife,importance,4
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,important,71,elife,importance,3
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,valuable,66,elife,importance,2
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,useful,67,elife,importance,1
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,exceptional,80,elife,support,6
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,compelling,70,elife,support,5
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,convincing,71,elife,support,4
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,solid,71,elife,support,3
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,incomplete,30,elife,support,2
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,inadequate,18,elife,support,1
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,very high importance,79,alt,importance,5
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,high importance,70,alt,importance,4
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,moderate importance,57,alt,importance,3
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,low importance,17,alt,importance,2
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,very low importance,18,alt,importance,1
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,very strong support,88,alt,support,5
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,strong support,81,alt,support,4
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,moderate support,54,alt,support,3
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,weak support,48,alt,support,2
2,653,8,Doctorate degree (PhD/other),NA,Physical Sciences,NA,very weak support,15,alt,support,1
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,landmark,90,elife,importance,5
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,fundamental,88,elife,importance,4
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,important,70,elife,importance,3
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,valuable,65,elife,importance,2
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,useful,65,elife,importance,1
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,exceptional,98,elife,support,6
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,compelling,50,elife,support,5
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,convincing,70,elife,support,4
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,solid,85,elife,support,3
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,incomplete,0,elife,support,2
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,inadequate,0,elife,support,1
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,very high importance,77,alt,importance,5
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,high importance,90,alt,importance,4
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,moderate importance,35,alt,importance,3
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,low importance,10,alt,importance,2
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,very low importance,10,alt,importance,1
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,very strong support,96,alt,support,5
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,strong support,80,alt,support,4
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,moderate support,35,alt,support,3
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,weak support,10,alt,support,2
3,696,10,Doctorate degree (PhD/other),NA,Physical Sciences,NA,very weak support,15,alt,support,1
4,1635,80,Doctorate degree (PhD/other),NA,Life Sciences and Biomedicine,NA,landmark,91,elife,importance,5
4,1635,80,Doctorate degree (PhD/other),NA,Life Sciences and Biomedicine,NA,fundamental,85,elife,importance,4
4,1635,80,Doctorate degree (PhD/other),NA,Life Sciences and Biomedicine,NA,important,87,elife,importance,3
4,1635,80,Doctorate degree (PhD/other),NA,Life Sciences and Biomedicine,NA,valuable,70,elife,importance,2
4,1635,80,Doctorate degree (PhD/other),NA,Life Sciences and Biomedicine,NA,useful,75,elife,importance,1
4,1635,80,Doctorate degree (PhD/other),NA,Life Sciences and Biomedicine,NA,exceptional,91,elife,support,6
4,1635,80,Doctorate degree (PhD/other),NA,Life Sciences and Biomedicine,NA,compelling,88,elife,support,5
4,1635,80,Doctorate degree (PhD/other),NA,Life Sciences and Biomedicine,NA,convincing,80,elife,support,4
4,1635,80,Doctorate degree (PhD/other),NA,Life Sciences and Biomedicine,NA,solid,61,elife,support,3
4,1635,80,Doctorate degree (PhD/other),NA,Life Sciences and Biomedicine,NA,incomplete,5,elife,support,2
4,1635,80,Doctorate degree (PhD/other),NA,Life Sciences and Biomedicine,NA,inadequate,25,elife,support,1
